Wavelength,Light,Dark,Normalized
373.6419933556459,803.2,807.3,-4.099999999999909
373.87797803825475,809.74,813.64,-3.8999999999999773
374.1139480556553,823.6,825.46,-1.8600000000000136
374.34990340654866,832.74,832.9399999999999,-0.1999999999999318
374.58584408963566,838.9400000000002,839.7,-0.7599999999998772
374.8217701036173,845.72,848.1400000000001,-2.4200000000000728
375.0576814471945,844.1599999999999,847.1,-2.9400000000001683
375.2935781190682,838.6800000000001,843.7,-5.019999999999982
375.5294601179393,849.46,855.26,-5.7999999999999545
375.76532744250875,851.22,857.8799999999999,-6.6599999999998545
376.00118009147747,859.4399999999999,866.6600000000001,-7.220000000000141
376.23701806354643,863.3,868.78,-5.480000000000018
376.47284135741654,863.1999999999998,866.4799999999999,-3.2800000000000864
376.70864997178876,864.2,867.8,-3.599999999999909
376.94444390536404,869.9,874.46,-4.560000000000059
377.1802231568432,863.8799999999999,866.9799999999999,-3.1000000000000227
377.4159877249274,862.3,868.54,-6.240000000000009
377.6517376083174,860.26,867.72,-7.460000000000036
377.8874728057141,844.8399999999999,851.04,-6.2000000000000455
378.1231933158186,852.1599999999999,857.3399999999999,-5.180000000000064
378.3588991373316,849.8,856.4200000000001,-6.620000000000118
378.59459026895433,852.4800000000001,856.8799999999999,-4.39999999999975
378.83026670938756,855.18,859.9799999999999,-4.7999999999999545
379.0659284573322,869.78,875.72,-5.940000000000055
379.3015755114892,858.6,865.0200000000001,-6.420000000000073
379.5372078705596,870.6400000000001,876.4399999999999,-5.799999999999841
379.7728255332442,869.6200000000001,878.8799999999999,-9.259999999999764
380.0084284982441,873.72,881.26,-7.539999999999964
380.24401676426004,869.4399999999999,876.2800000000001,-6.8400000000001455
380.479590329993,868.8799999999999,875.26,-6.380000000000109
380.7151491941441,866.8399999999999,873.4400000000002,-6.60000000000025
380.95069335541405,869.96,874.32,-4.360000000000014
381.1862228125039,863.86,871.4200000000001,-7.560000000000059
381.42173756411455,865.3,873.74,-8.440000000000055
381.6572376089469,869.14,877.4399999999999,-8.299999999999955
381.89272294570196,860.64,868.46,-7.82000000000005
382.1281935730807,855.82,863.8,-7.9799999999999045
382.36364948978394,859.7,865.1200000000001,-5.420000000000073
382.59909069451265,897.9399999999999,903.9399999999999,-6.0
382.8345171859678,901.76,907.86,-6.100000000000023
383.06992896285027,901.36,907.4200000000001,-6.060000000000059
383.30532602386114,902.1400000000001,911.1600000000001,-9.019999999999982
383.54070836770114,900.3,911.4399999999999,-11.139999999999986
383.7760759930713,857.3,865.9,-8.600000000000023
384.0114288986726,848.0799999999999,856.6199999999999,-8.539999999999964
384.24676708320595,844.9400000000002,855.1,-10.159999999999854
384.4820905453722,849.76,854.28,-4.519999999999982
384.71739928387245,851.46,855.9,-4.439999999999941
384.9526932974075,847.36,853.9200000000001,-6.560000000000059
385.18797258467833,846.8000000000002,853.8199999999999,-7.019999999999754
385.4232371443859,848.5799999999999,853.9,-5.32000000000005
385.6584869752311,848.3199999999999,858.64,-10.32000000000005
385.89372207591487,849.4799999999999,859.7999999999998,-10.319999999999936
386.12894244513814,848.28,858.6599999999999,-10.379999999999882
386.36414808160185,849.46,862.0600000000001,-12.600000000000023
386.59933898400703,854.6,868.8799999999999,-14.279999999999859
386.8345151510545,857.68,870.22,-12.540000000000077
387.0696765814452,855.6199999999999,869.1200000000001,-13.500000000000227
387.3048232738802,861.64,875.6200000000001,-13.980000000000132
387.5399552270602,862.8,874.1,-11.300000000000068
387.7750724396864,858.8,871.0200000000001,-12.220000000000141
388.0101749104595,853.7,866.78,-13.079999999999927
388.2452626380806,853.74,866.36,-12.620000000000005
388.48033562125056,853.74,868.5200000000001,-14.780000000000086
388.71539385867027,857.1599999999999,876.14,-18.980000000000132
388.9504373490408,866.2400000000001,884.2,-17.959999999999923
389.18546609106306,865.46,884.76,-19.299999999999955
389.42048008343784,877.0799999999999,898.78,-21.700000000000045
389.6554793248662,872.7199999999999,894.0799999999999,-21.360000000000014
389.8904638140491,873.68,890.1200000000001,-16.44000000000017
390.12543354968733,886.3,902.9,-16.600000000000023
390.360388530482,896.3399999999999,910.9,-14.56000000000006
390.5953287551339,892.8799999999999,904.4200000000001,-11.540000000000191
390.8302542223441,897.0200000000001,909.5,-12.479999999999905
391.06516493081347,892.6199999999999,907.04,-14.420000000000073
391.30006087924284,875.0600000000001,887.3799999999999,-12.319999999999823
391.5349420663333,866.5,880.5600000000001,-14.06000000000006
391.76980849078575,857.1,872.82,-15.720000000000027
392.0046601513011,856.9800000000001,869.6199999999999,-12.639999999999759
392.2394970465803,860.14,872.9200000000001,-12.780000000000086
392.4743191753243,856.9799999999999,872.4199999999998,-15.43999999999994
392.709126536234,857.76,868.8400000000001,-11.080000000000155
392.9439191280104,858.24,869.8,-11.559999999999945
393.17869694935433,853.7400000000001,866.5,-12.759999999999877
