Wavelength,Light,Dark,Intensity
373.6419933556459,683.4,683.9,-0.5
373.87797803825475,684.18,684.2,-0.020000000000095497
374.1139480556553,687.0400000000001,685.22,1.82000000000005
374.34990340654866,687.82,685.6800000000001,2.1399999999999864
374.58584408963566,689.0,686.94,2.0599999999999454
374.8217701036173,691.14,689.54,1.6000000000000227
375.0576814471945,690.02,690.0,0.01999999999998181
375.2935781190682,688.74,689.8799999999999,-1.1399999999998727
375.5294601179393,692.98,692.9599999999999,0.020000000000095497
375.76532744250875,694.1200000000001,692.9,1.220000000000141
376.00118009147747,694.0000000000001,692.8799999999999,1.120000000000232
376.23701806354643,695.1800000000001,694.0199999999999,1.1600000000001955
376.47284135741654,695.3199999999999,695.0800000000002,0.23999999999978172
376.70864997178876,694.44,695.4200000000001,-0.9800000000000182
376.94444390536404,695.22,696.4,-1.17999999999995
377.1802231568432,693.9,696.5,-2.6000000000000227
377.4159877249274,695.0,696.08,-1.080000000000041
377.6517376083174,695.22,695.6,-0.37999999999999545
377.8874728057141,693.26,692.6600000000001,0.599999999999909
378.1231933158186,693.06,691.98,1.0799999999999272
378.3588991373316,695.68,690.78,4.899999999999977
378.59459026895433,702.0200000000001,691.0200000000001,11.0
378.83026670938756,707.9800000000001,690.3399999999999,17.640000000000214
379.0659284573322,715.9799999999999,692.1200000000001,23.859999999999786
379.3015755114892,722.28,691.46,30.819999999999936
379.5372078705596,730.06,694.46,35.59999999999991
379.7728255332442,731.4,695.5,35.89999999999998
380.0084284982441,731.5600000000001,696.72,34.84000000000003
380.24401676426004,730.02,694.9,35.120000000000005
380.479590329993,727.42,694.6600000000001,32.75999999999988
380.7151491941441,724.42,692.22,32.19999999999993
380.95069335541405,720.9399999999999,691.0600000000001,29.87999999999988
381.1862228125039,720.72,689.56,31.160000000000082
381.42173756411455,720.6,691.1800000000001,29.41999999999996
381.6572376089469,721.7,691.6200000000001,30.079999999999927
381.89272294570196,721.0600000000001,690.84,30.220000000000027
382.1281935730807,721.94,689.8199999999999,32.12000000000012
382.36364948978394,720.6400000000001,690.36,30.280000000000086
382.59909069451265,725.4,695.6,29.799999999999955
382.8345171859678,725.6199999999999,697.4,28.219999999999914
383.06992896285027,724.0600000000001,698.6200000000001,25.43999999999994
383.30532602386114,722.6800000000001,698.14,24.540000000000077
383.54070836770114,721.46,697.06,24.40000000000009
383.7760759930713,713.0600000000001,689.3399999999999,23.72000000000014
384.0114288986726,710.5800000000002,685.86,24.72000000000014
384.24676708320595,708.6800000000001,685.52,23.160000000000082
384.4820905453722,708.68,687.72,20.959999999999923
384.71739928387245,709.52,688.76,20.75999999999999
384.9526932974075,710.22,688.9200000000001,21.299999999999955
385.18797258467833,710.0,690.2800000000001,19.719999999999914
385.4232371443859,710.12,690.2,19.91999999999996
385.6584869752311,709.54,689.4199999999998,20.12000000000012
385.89372207591487,708.96,690.08,18.879999999999995
386.12894244513814,705.5000000000001,689.46,16.040000000000077
386.36414808160185,704.1,689.3000000000001,14.799999999999955
386.59933898400703,702.7400000000001,690.4,12.340000000000146
386.8345151510545,701.84,690.64,11.200000000000045
387.0696765814452,700.8399999999999,690.9599999999999,9.879999999999995
387.3048232738802,703.1,692.04,11.06000000000006
387.5399552270602,701.6400000000001,692.1800000000001,9.460000000000036
387.7750724396864,702.4,691.06,11.340000000000032
388.0101749104595,702.64,690.86,11.779999999999973
388.2452626380806,702.08,688.6800000000001,13.399999999999977
388.48033562125056,702.5200000000001,688.54,13.980000000000132
388.71539385867027,704.36,688.68,15.680000000000064
388.9504373490408,704.4399999999999,689.3199999999999,15.120000000000005
389.18546609106306,702.5600000000001,688.5399999999998,14.02000000000021
389.42048008343784,703.5200000000001,691.28,12.240000000000123
389.6554793248662,700.92,691.0199999999999,9.900000000000091
389.8904638140491,699.5400000000002,690.8,8.740000000000236
390.12543354968733,701.52,693.48,8.039999999999964
390.360388530482,703.0,694.9,8.100000000000023
390.5953287551339,701.78,693.74,8.039999999999964
390.8302542223441,702.78,695.4,7.3799999999999955
391.06516493081347,703.56,694.86,8.699999999999932
391.30006087924284,700.0200000000001,690.12,9.900000000000091
391.5349420663333,699.48,690.14,9.340000000000032
391.76980849078575,696.6199999999999,689.26,7.3599999999999
392.0046601513011,695.7,687.3799999999999,8.320000000000164
392.2394970465803,695.5600000000002,688.3999999999999,7.160000000000309
392.4743191753243,694.74,690.54,4.2000000000000455
392.709126536234,694.2,689.4399999999999,4.760000000000105
392.9439191280104,695.68,689.5400000000001,6.139999999999873
393.17869694935433,695.0800000000002,690.2,4.880000000000109
393.41345999896674,694.02,688.86,5.159999999999968
393.6482082755487,694.0799999999999,688.7800000000001,5.299999999999841
393.882941777801,693.04,689.34,3.699999999999932
394.11766050442463,693.48,688.96,4.519999999999982
394.35236445412056,695.3799999999999,690.14,5.239999999999895
394.58705362558965,695.6400000000001,691.9,3.740000000000123
394.8217280175329,697.0199999999999,691.5400000000001,5.479999999999791
395.05638762865124,696.8399999999999,691.3799999999999,5.460000000000036
395.29103245764554,696.58,691.9399999999999,4.6400000000001
395.52566250321684,694.5600000000001,690.9799999999999,3.5800000000001546
395.7602777640659,696.3199999999999,692.52,3.7999999999999545
395.9948782388939,694.08,692.6200000000001,1.4599999999999227
396.22946392640165,693.3,692.0200000000001,1.279999999999859
396.46403482529,693.54,692.4800000000001,1.0599999999998317
396.69859093426,694.3199999999999,692.76,1.5599999999999454
396.9331322520126,692.1800000000001,690.04,2.1400000000001
397.1676587772486,695.06,692.1600000000001,2.8999999999998636
397.4021705086691,696.86,692.42,4.440000000000055
397.636667444975,695.86,692.6199999999999,3.240000000000123
397.8711495848671,695.9,691.54,4.360000000000014
398.1056169270465,695.72,690.4999999999999,5.220000000000141
398.3400694702141,692.8199999999999,687.02,5.7999999999999545
398.5745072130707,691.8599999999999,685.54,6.319999999999936
398.8089301543174,692.2,684.3999999999999,7.800000000000182
399.04333829265505,689.4799999999999,684.52,4.959999999999923
399.27773162678466,689.7,686.12,3.580000000000041
399.5121101554071,690.6800000000001,687.46,3.2200000000000273
399.7464738772233,690.0200000000001,687.96,2.060000000000059
399.98082279093427,690.1600000000001,688.5799999999999,1.5800000000001546
400.21515689524085,693.3,689.9200000000001,3.3799999999998818
400.44947618884396,692.14,691.42,0.7200000000000273
400.6837806704447,691.0200000000001,690.6,0.42000000000007276
400.91807033874386,692.3,692.1400000000001,0.15999999999985448
401.1523451924424,692.4,692.4400000000002,-0.040000000000190994
401.3866052302413,691.3599999999999,691.72,-0.36000000000012733
401.62085045084143,693.18,690.98,2.199999999999932
401.8550808529438,695.0800000000002,691.84,3.240000000000123
402.0892964352493,694.4399999999999,690.78,3.659999999999968
402.32349719645885,693.64,690.52,3.1200000000000045
402.55768313527346,693.0,689.8,3.2000000000000455
402.79185425039395,691.02,687.62,3.3999999999999773
403.0260105405213,688.8399999999999,687.8799999999999,0.9600000000000364
403.2601520043566,687.6200000000001,689.7,-2.0799999999999272
403.49427864060056,687.32,689.4599999999998,-2.139999999999759
403.7283904479542,687.4200000000001,689.8,-2.3799999999998818
403.9624874251185,688.3199999999999,691.4399999999999,-3.1200000000000045
404.1965695707944,688.1,690.9599999999999,-2.8599999999999
404.43063688368267,689.4200000000001,689.8399999999999,-0.4199999999998454
404.66468936248447,690.24,690.22,0.01999999999998181
404.8987270059006,690.52,690.1199999999999,0.40000000000009095
