Wavelength,Light,Dark,Normalized
373.6419933556459,812.24,817.0600000000001,-4.82000000000005
373.87797803825475,817.74,822.0599999999998,-4.319999999999823
374.1139480556553,830.1600000000001,834.2,-4.039999999999964
374.34990340654866,840.72,843.26,-2.5399999999999636
374.58584408963566,847.7400000000001,848.8800000000001,-1.1399999999999864
374.8217701036173,855.4399999999999,857.5200000000001,-2.0800000000001546
375.0576814471945,856.2,857.64,-1.4399999999999409
375.2935781190682,850.3599999999999,853.18,-2.82000000000005
375.5294601179393,860.2800000000001,863.2,-2.919999999999959
375.76532744250875,861.68,865.0,-3.32000000000005
376.00118009147747,869.36,870.24,-0.8799999999999955
376.23701806354643,869.4199999999998,872.1400000000001,-2.7200000000002547
376.47284135741654,870.82,871.5,-0.67999999999995
376.70864997178876,871.0600000000001,871.2199999999999,-0.15999999999985448
376.94444390536404,877.64,878.6600000000001,-1.0200000000000955
377.1802231568432,871.2,874.1200000000001,-2.9200000000000728
377.4159877249274,873.86,874.46,-0.6000000000000227
377.6517376083174,870.2800000000001,873.74,-3.4599999999999227
377.8874728057141,855.86,861.5200000000001,-5.660000000000082
378.1231933158186,859.72,865.1,-5.3799999999999955
378.3588991373316,856.6400000000001,863.5,-6.8599999999999
378.59459026895433,856.8800000000001,862.1200000000001,-5.240000000000009
378.83026670938756,858.1200000000001,861.9199999999998,-3.799999999999727
379.0659284573322,869.7400000000001,872.8,-3.0599999999998317
379.3015755114892,859.6200000000001,861.3800000000001,-1.759999999999991
379.5372078705596,870.46,870.18,0.2800000000000864
379.7728255332442,867.9800000000001,869.9999999999998,-2.0199999999996407
380.0084284982441,871.32,873.64,-2.3199999999999363
380.24401676426004,867.1,866.3,0.8000000000000682
380.479590329993,865.1800000000001,866.4399999999999,-1.2599999999998772
380.7151491941441,861.36,864.5799999999999,-3.2199999999999136
380.95069335541405,864.18,866.9799999999999,-2.7999999999999545
381.1862228125039,860.0,863.0200000000001,-3.0200000000000955
381.42173756411455,861.5200000000001,869.36,-7.839999999999918
381.6572376089469,866.4799999999999,873.6600000000001,-7.180000000000177
381.89272294570196,860.32,867.18,-6.8599999999999
382.1281935730807,857.6,865.8399999999999,-8.239999999999895
382.36364948978394,859.9399999999999,867.3,-7.360000000000014
382.59909069451265,896.64,903.3599999999999,-6.719999999999914
382.8345171859678,900.8800000000001,906.32,-5.439999999999941
383.06992896285027,899.64,903.86,-4.220000000000027
383.30532602386114,900.2,903.6999999999998,-3.4999999999997726
383.54070836770114,898.76,903.54,-4.779999999999973
383.7760759930713,855.9399999999999,859.28,-3.340000000000032
384.0114288986726,848.0600000000001,850.4199999999998,-2.3599999999997863
384.24676708320595,845.9800000000001,848.4,-2.4199999999998454
384.4820905453722,849.2800000000001,851.0600000000001,-1.7799999999999727
384.71739928387245,850.9599999999998,850.86,0.09999999999979536
384.9526932974075,849.1600000000001,848.1200000000001,1.0399999999999636
385.18797258467833,846.5400000000002,847.3,-0.7599999999997635
385.4232371443859,848.4200000000001,848.0799999999999,0.3400000000001455
385.6584869752311,847.9200000000001,846.0,1.9200000000000728
385.89372207591487,848.8399999999999,849.2,-0.36000000000012733
386.12894244513814,847.78,847.5200000000001,0.2599999999998772
386.36414808160185,846.54,847.5600000000001,-1.0200000000000955
386.59933898400703,850.18,853.54,-3.3600000000000136
386.8345151510545,851.86,857.0600000000001,-5.2000000000000455
387.0696765814452,848.5,853.1600000000001,-4.660000000000082
387.3048232738802,852.4400000000002,859.5199999999999,-7.0799999999997
387.5399552270602,855.2,860.5200000000001,-5.32000000000005
387.7750724396864,851.8800000000001,856.1199999999999,-4.239999999999782
388.0101749104595,846.5400000000002,851.24,-4.699999999999818
388.2452626380806,848.3000000000002,851.78,-3.479999999999791
